add device 1: /dev/input/event4
  name:     "grip_sensor_wifi"
add device 2: /dev/input/event0
  name:     "meta_event"
add device 3: /dev/input/event5
  name:     "Exynos9610-Audio Headset Jack"
add device 4: /dev/input/event3
  name:     "grip_sensor"
add device 5: /dev/input/event8
  name:     "wacom_hall"
add device 6: /dev/input/event7
  name:     "hall"
add device 7: /dev/input/event1
  name:     "sec_touchscreen"
add device 8: /dev/input/event6
  name:     "gpio_keys"
add device 9: /dev/input/event2
  name:     "sec_e-pen"
[   32977.507437] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    0000026f            
[   32977.507437] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[   32977.515763] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   00000063            
[   32977.515763] /dev/input/event1: EV_ABS       ABS_MT_WIDTH_MAJOR   00000063            
[   32977.515763] /dev/input/event1: EV_ABS       ABS_MT_PRESSURE      00000063            
[   32977.515763] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    0000025c            
[   32977.515763] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    000007bd            
[   32977.515763] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[   32977.524126] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   00000065            
[   32977.524126] /dev/input/event1: EV_ABS       ABS_MT_WIDTH_MAJOR   00000065            
[   32977.524126] /dev/input/event1: EV_ABS       ABS_MT_PRESSURE      00000065            
[   32977.524126] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    00000248            
[   32977.524126] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    000007be            
[   32977.524126] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[   32977.532331] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   00000067            
[   32977.532331] /dev/input/event1: EV_ABS       ABS_MT_WIDTH_MAJOR   00000067            
[   32977.532331] /dev/input/event1: EV_ABS       ABS_MT_PRESSURE      00000067            
[   32977.532331] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    00000234            
[   32977.532331] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    000007bf            
[   32977.532331] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[   32977.540653] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   00000069            
[   32977.540653] /dev/input/event1: EV_ABS       ABS_MT_WIDTH_MAJOR   00000069            
[   32977.540653] /dev/input/event1: EV_ABS       ABS_MT_PRESSURE      00000069            
[   32977.540653] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    0000021e            
[   32977.540653] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    000007c1            
[   32977.540653] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[   32977.549072] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   0000006a            
[   32977.549072] /dev/input/event1: EV_ABS       ABS_MT_WIDTH_MAJOR   0000006a            
[   32977.549072] /dev/input/event1: EV_ABS       ABS_MT_PRESSURE      0000006a            
[   32977.549072] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    00000208            
[   32977.549072] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    000007c2            
[   32977.549072] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[   32977.557319] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   0000006b            
[   32977.557319] /dev/input/event1: EV_ABS       ABS_MT_WIDTH_MAJOR   0000006b            
[   32977.557319] /dev/input/event1: EV_ABS       ABS_MT_PRESSURE      0000006b            
[   32977.557319] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    000001f0            
[   32977.557319] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    000007c4            
[   32977.557319] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[   32977.565649] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   0000006c            
[   32977.565649] /dev/input/event1: EV_ABS       ABS_MT_WIDTH_MAJOR   0000006c            
[   32977.565649] /dev/input/event1: EV_ABS       ABS_MT_PRESSURE      0000006c            
[   32977.565649] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    000001d8            
[   32977.565649] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    000007c9            
